Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
EHA05670_bin.22	94.44	0.15	Neural Network (Specific Model)	11	0.89	69259	356.562074829932	2824263	0.41	2352	104	190422	None
EHA05670_bin.45	98.4	0.02	Gradient Boost (General Model)	11	0.908	111462	339.5400410677618	2181672	0.42	1948	36	264668	None
ERR1913344_bin_19	76.78	14.68	Neural Network (Specific Model)	11	0.88	6542	295.46741154562386	1621081	0.63	1611	306	36144	None
ERR1913680_bin_31518	90.48	1.91	Neural Network (Specific Model)	11	0.928	6056	270.52868632707776	1627469	0.4	1865	354	28216	None
ERR1913680_bin_59740	98.47	1.57	Neural Network (Specific Model)	11	0.921	19770	312.4390539721043	1675333	0.46	1649	145	52205	None
ERR1913920_bin_49530	97.24	1.93	Gradient Boost (General Model)	11	0.9	12819	291.8818181818182	1710817	0.29	1760	200	49368	None
ERR1914160_bin_50225	82.37	8.47	Gradient Boost (General Model)	11	0.909	5004	272.88732394366195	1660689	0.3	1846	399	36416	None
ERR1914448_bin_20713	99.87	0.25	Neural Network (Specific Model)	11	0.914	26574	310.0077108433735	2108709	0.29	2075	126	149342	None
ERR1915624_bin_73069	98.59	0.5	Neural Network (Specific Model)	11	0.826	28140	349.5366203925323	2647193	0.47	2089	148	80130	None
ERR1916008_bin_107762	96.26	0.12	Neural Network (Specific Model)	11	0.874	25987	351.38093322606596	2994410	0.39	2486	166	98651	None
ERR1916008_bin_43	99.99	0.01	Neural Network (Specific Model)	11	0.915	400918	357.9646808510638	2753937	0.5	2350	18	468685	None
ERR1916320_bin_36844	79.58	4.78	Neural Network (Specific Model)	11	0.903	6689	281.96273917421956	1857693	0.3	1986	365	29883	None
GL_01_02_bin_120653	91.08	3.62	Gradient Boost (General Model)	11	0.89	4068	276.07870665815784	4367276	0.39	4701	1233	19357	None
GL_01_02_bin_25487	90.36	2.92	Gradient Boost (General Model)	11	0.923	7880	293.14706684856753	3481873	0.65	3665	571	36466	None
GL_01_02_bin_65248	76.94	4.0	Gradient Boost (General Model)	11	0.879	4133	263.5303485576923	2989722	0.64	3328	840	13124	None
GL_01_05_bin_40903	85.42	1.54	Gradient Boost (General Model)	11	0.895	4404	251.3296089385475	1506076	0.53	1790	395	21470	None
GL_01_05_bin_42820	99.51	0.3	Gradient Boost (General Model)	11	0.906	25554	308.46123595505617	1816279	0.57	1780	129	78701	None
GL_01_06_bin_116057	80.51	4.58	Neural Network (Specific Model)	11	0.845	4064	255.1304347826087	2516678	0.28	2783	685	47289	None
GL_01_06_bin_133980	96.71	0.27	Neural Network (Specific Model)	11	0.889	75722	289.46032461677186	2162512	0.32	2218	70	175654	None
GL_02_01_bin_49137	89.06	10.04	Gradient Boost (General Model)	11	0.902	6588	295.31051752921536	2349580	0.48	2396	488	32872	None
GL_02_02_bin_62617	78.38	6.01	Gradient Boost (General Model)	11	0.903	6526	308.2556528081692	2803480	0.35	2742	538	30071	None
GL_02_02_bin_6706	99.89	1.82	Neural Network (Specific Model)	11	0.891	14045	289.7749378771743	2745417	0.54	2817	296	43872	None
GL_03_02_bin_62179	97.02	1.67	Gradient Boost (General Model)	11	0.895	28268	325.17826672653797	2424003	0.61	2227	122	135160	None
GL_03_05_bin_71272	91.98	0.27	Neural Network (Specific Model)	11	0.875	19937	275.1485436893204	2911040	0.43	3090	241	78673	None
GL_03_05_bin_83570	90.43	0.08	Neural Network (Specific Model)	11	0.874	60012	293.38100050530574	1989163	0.47	1979	64	137483	None
GL_04_02_bin_32897	76.84	6.7	Gradient Boost (General Model)	11	0.899	6366	280.58490566037733	2179804	0.29	2332	460	23073	None
GL_04_03_bin_107784	78.32	4.98	Gradient Boost (General Model)	11	0.871	5365	286.7439739413681	1513649	0.63	1535	346	25580	None
GL_04_03_bin_41717	75.81	5.05	Neural Network (Specific Model)	11	0.87	4567	255.66320987654322	1782675	0.47	2025	463	15061	None
GL_04_04_bin_41848	76.67	5.14	Gradient Boost (General Model)	11	0.883	4562	255.51114827201783	1553401	0.3	1794	406	17548	None
GL_04_05_bin_57747	84.76	1.13	Neural Network (Specific Model)	11	0.899	9893	296.5973568281938	2241854	0.48	2270	330	34505	None
GL_04_07_bin_35726	99.98	1.02	Neural Network (Specific Model)	11	0.91	21304	304.55598570577723	3366494	0.7	3358	279	88094	None
GL_04_07_bin_53126	94.75	0.1	Neural Network (Specific Model)	11	0.908	54472	358.36457995458966	3644085	0.47	3083	99	152193	None
GL_05_01_bin_33056	81.79	1.24	Neural Network (Specific Model)	11	0.904	46537	369.83937823834196	2365552	0.42	1930	82	94142	None
GL_05_06_bin_7822	75.89	6.47	Gradient Boost (General Model)	11	0.9	3979	252.22848664688428	1413924	0.3	1685	396	19233	None
GL_05_11_bin_29	99.98	0.0	Neural Network (Specific Model)	11	0.94	57459	315.1240627130198	1470690	0.37	1467	44	122426	None
GL_05_12_bin_37734	99.99	1.03	Neural Network (Specific Model)	11	0.892	171829	297.17862301396246	2071799	0.38	2077	33	428327	None
GL_06_04_bin_485	99.98	0.59	Neural Network (Specific Model)	11	0.908	91398	312.3874321880651	2277437	0.41	2212	33	176530	None
GL_06_04_bin_58659	99.16	0.72	Gradient Boost (General Model)	11	0.876	66621	279.21714285714285	2170016	0.3	2275	61	191758	None
GL_06_05_bin_17972	99.23	0.09	Gradient Boost (General Model)	11	0.882	26622	303.34031936127747	2063353	0.57	2004	114	90279	None
GL_07_02_bin_108222	85.01	7.26	Gradient Boost (General Model)	11	0.898	5495	279.17269076305223	1623117	0.3	1743	367	21366	None
GL_07_02_bin_52672	75.71	5.13	Gradient Boost (General Model)	11	0.889	16525	320.8408505154639	1679229	0.65	1552	185	61523	None
GL_07_03_bin_78816	98.23	2.86	Neural Network (Specific Model)	11	0.902	35815	297.61856577210733	2242962	0.48	2273	89	102985	None
GL_08_01_bin_53111	74.57	1.02	Neural Network (Specific Model)	11	0.91	7660	291.8952981095492	1981044	0.41	2063	333	35567	None
GL_08_03_bin_7776	97.8	0.13	Gradient Boost (General Model)	11	0.918	100415	308.21851078636047	1444486	0.29	1437	34	156003	None
GL_08_08_bin_182	89.28	6.38	Neural Network (Specific Model)	11	0.881	8889	296.1420365535248	1928629	0.63	1915	320	47207	None
GL_08_12_bin_48589	84.13	1.84	Gradient Boost (General Model)	11	0.909	5480	284.2315035799523	1177883	0.3	1257	261	18803	Low confidence prediction - substantial (25%) disagreement between completeness prediction models
MS_03_04_bin_60751	90.42	3.02	Neural Network (Specific Model)	11	0.873	6628	276.3077554370127	2309903	0.55	2437	444	30867	None
MS_05_01_bin_22561	99.77	2.23	Neural Network (Specific Model)	11	0.895	35065	319.31946755407654	2569403	0.34	2404	137	119230	None
MS_05_01_bin_35606	92.46	3.04	Neural Network (Specific Model)	11	0.907	37592	304.5336391437309	1974346	0.43	1962	97	120277	None
PRJEB20308A_bin_152229	93.79	1.12	Neural Network (Specific Model)	11	0.83	22947	290.2416998671979	2367855	0.34	2259	147	97802	None
PRJEB20308A_bin_270844	95.32	1.28	Gradient Boost (General Model)	11	0.887	8305	290.24301581958935	2911101	0.3	2971	482	53895	None
PRJEB20308A_bin_330673	91.3	1.01	Neural Network (Specific Model)	11	0.863	33196	307.1915081822203	2407943	0.49	2261	150	106080	None
PRJEB20308A_bin_343335	87.35	0.59	Neural Network (Specific Model)	11	0.88	36969	313.9402148528725	2287980	0.42	2141	140	127773	None
PRJEB20308A_bin_352057	82.47	11.8	Neural Network (Specific Model)	11	0.891	5765	280.12935323383084	2271279	0.29	2412	482	33812	None
PRJEB20308B_bin_224360	88.27	1.24	Gradient Boost (General Model)	11	0.883	5782	274.3149087221095	1833898	0.63	1972	374	37253	None
PRJEB20308B_bin_225665	99.52	1.23	Neural Network (Specific Model)	11	0.868	25924	290.7397089397089	2409338	0.54	2405	196	110777	None
PRJEB20308B_bin_255590	87.47	11.38	Gradient Boost (General Model)	11	0.854	3686	254.31592356687898	2101268	0.31	2355	633	18655	None
PRJEB20308B_bin_267797	78.38	1.19	Neural Network (Specific Model)	11	0.901	6302	281.5059936908517	1483067	0.33	1585	304	30308	None
PRJEB20308B_bin_274634	99.02	0.14	Gradient Boost (General Model)	11	0.91	100637	365.6069268829027	2189296	0.43	1819	49	289690	None
PRJEB20308B_bin_381610	93.17	3.75	Gradient Boost (General Model)	11	0.866	4540	292.11001461988303	2765102	0.3	2736	732	16847	None
PRJNA738608A_bin_144803	79.31	1.98	Neural Network (Specific Model)	11	0.899	4158	226.57457898957497	1878910	0.42	2494	523	19580	None
PRJNA738608A_bin_263958	95.03	0.45	Neural Network (Specific Model)	11	0.873	25785	287.90344438170524	1749490	0.53	1771	109	112466	None
PRJNA738608A_bin_325212	96.82	2.43	Neural Network (Specific Model)	11	0.858	12611	273.4142975434723	3459664	0.29	3623	417	85496	None
PRJNA738608A_bin_330770	96.67	0.37	Neural Network (Specific Model)	11	0.905	27555	333.458778173191	3721689	0.45	3372	293	124067	None
PRJNA738608B_bin_319535	90.11	3.55	Gradient Boost (General Model)	11	0.911	18504	319.6337090163934	4104491	0.43	3904	507	71515	None
PRJNA738608B_bin_319843	93.86	3.24	Neural Network (Specific Model)	11	0.878	13004	273.5085020242915	2303756	0.46	2470	281	75742	None
PRJNA738608B_bin_324446	80.43	5.81	Neural Network (Specific Model)	11	0.883	8342	291.40811455847256	2071238	0.58	2095	332	36961	None
PRJNA738608B_bin_339644	79.32	2.14	Gradient Boost (General Model)	11	0.862	5763	279.91435768261965	2317518	0.49	2382	490	59813	None
PRJNA738608B_bin_342101	95.06	3.1	Neural Network (Specific Model)	11	0.876	17799	274.47627737226276	3088722	0.27	3288	344	54276	None
PRJNA738608B_bin_345056	92.47	1.12	Gradient Boost (General Model)	11	0.721	27814	396.9934725848564	3794530	0.43	2298	222	91957	None
PRJNA738608B_bin_491327	81.27	0.3	Neural Network (Specific Model)	11	0.864	33145	289.7651821862348	2978665	0.39	2964	207	138401	None
PRJNA738608B_bin_538917	84.38	5.26	Neural Network (Specific Model)	11	0.901	8622	271.60925853275796	2300453	0.35	2549	383	59846	None
PRJNA738608B_bin_879691	82.15	11.1	Neural Network (Specific Model)	11	0.908	9930	351.7893247068338	5741021	0.42	4946	906	58343	None
PRJNA871950C_bin_189	91.16	2.06	Gradient Boost (General Model)	11	0.895	8841	288.02815533980583	1984361	0.57	2060	320	26251	None
SA000209_bin_287	100.0	0.26	Neural Network (Specific Model)	11	0.898	47102	314.3378817413905	1613611	0.29	1539	58	132339	None
SA000209_bin_310867	95.56	0.8	Neural Network (Specific Model)	11	0.79	34921	316.7654850019478	3080732	0.46	2567	138	113712	None
SA000209_bin_352358	98.95	1.47	Gradient Boost (General Model)	11	0.871	12350	286.5051789077213	2092800	0.52	2124	255	34162	None
SA000209_bin_550430	88.21	1.78	Gradient Boost (General Model)	11	0.913	7568	289.93082706766916	1264845	0.34	1330	219	28937	None
SA000209_bin_610124	80.89	2.17	Neural Network (Specific Model)	11	0.898	5458	277.8867141162515	1563015	0.4	1686	343	17870	None
SA000209_bin_757921	99.93	0.11	Neural Network (Specific Model)	11	0.885	41720	342.01216	3618918	0.43	3125	224	125650	None
SA000209_bin_982929	99.75	1.54	Neural Network (Specific Model)	11	0.913	13354	313.4277591973244	3074177	0.42	2990	380	49214	None
SA000209_bin_995637	99.99	0.0	Neural Network (Specific Model)	11	0.862	68262	332.2973076923077	3000284	0.43	2600	96	211898	None
SA000210_bin_155900	95.14	5.27	Gradient Boost (General Model)	11	0.905	6503	279.64558689717927	2034411	0.29	2198	408	37558	None
SA000210_bin_182668	76.95	4.08	Gradient Boost (General Model)	11	0.894	6246	270.5577596266044	1553356	0.28	1714	313	28613	None
SA000210_bin_186521	94.03	1.26	Neural Network (Specific Model)	11	0.876	33126	292.95937383525904	2688171	0.27	2683	198	123342	None
SA000210_bin_275379	79.0	0.81	Gradient Boost (General Model)	11	0.896	5008	257.10106629578115	1853125	0.46	2157	457	21859	None
SA000210_bin_307271	97.17	0.7	Gradient Boost (General Model)	11	0.903	90757	330.2459643160578	2578035	0.42	2354	62	203413	None
SA000210_bin_7637	97.0	1.33	Gradient Boost (General Model)	11	0.898	19435	311.8295719844358	1336668	0.44	1285	114	93437	None
SA000211_bin_116246	70.83	2.38	Neural Network (Specific Model)	11	0.913	9375	292.6277751535191	2030810	0.4	2117	298	42713	None
SA000211_bin_260927	88.06	0.92	Gradient Boost (General Model)	11	0.885	8081	284.72662337662337	1483877	0.43	1540	271	29317	None
SA000211_bin_291350	90.91	0.66	Gradient Boost (General Model)	11	0.864	6752	298.0567441860465	2220700	0.6	2150	425	30685	None
SA000212_bin_144673	71.01	1.92	Neural Network (Specific Model)	11	0.935	4733	260.20163316582915	1324963	0.54	1592	332	14815	None
SA000212_bin_175	99.25	0.69	Gradient Boost (General Model)	11	0.879	211283	336.7882225823879	2124339	0.68	1851	17	399513	None
SA000212_bin_329054	99.38	1.77	Neural Network (Specific Model)	11	0.907	20241	288.78326848249026	2448678	0.38	2570	231	77519	None
SA000214_bin_127800	99.96	0.13	Neural Network (Specific Model)	11	0.87	101193	315.53123595505616	2416640	0.58	2225	45	194104	None
SA000214_bin_23	99.99	0.04	Neural Network (Specific Model)	11	0.95	67039	301.89303178484107	1553687	0.35	1636	40	246220	None
SA000214_bin_265329	89.26	1.5	Neural Network (Specific Model)	11	0.888	7102	268.2629246676514	1837762	0.51	2031	334	28853	None
SA000214_bin_274590	99.4	0.14	Neural Network (Specific Model)	11	0.843	36720	323.05212677231026	2752642	0.47	2398	186	231802	None
SA000215_bin_179478	76.94	4.84	Gradient Boost (General Model)	11	0.878	3301	276.2963235294118	1282767	0.63	1360	405	17132	None
SA000215_bin_595514	99.66	1.32	Gradient Boost (General Model)	11	0.886	14568	313.21238938053096	2034418	0.44	1921	249	75572	None
SA000215_bin_794549	99.17	0.08	Neural Network (Specific Model)	11	0.848	43042	335.6100266193434	2673403	0.49	2254	134	181830	None
SA000216_bin_273	100.0	0.22	Gradient Boost (General Model)	11	0.88	53630	304.890522875817	1905739	0.39	1836	60	242384	None
SA000217_bin_188462	91.25	1.86	Neural Network (Specific Model)	11	0.864	10489	301.34383688600553	2255280	0.64	2158	329	52006	None
SA000218_bin_263649	99.95	0.03	Neural Network (Specific Model)	11	0.902	9325	305.65711687130516	2231616	0.38	2199	355	56195	None
SA000219_bin_25396	99.31	1.34	Gradient Boost (General Model)	11	0.912	16708	306.0795744680851	2361431	0.43	2350	214	60504	None
SA000220_bin_161059	95.68	0.08	Neural Network (Specific Model)	11	0.876	21787	328.64741641337383	1848776	0.62	1645	142	74354	None
SA000220_bin_19918	93.69	0.07	Gradient Boost (General Model)	11	0.901	51304	336.57850467289717	2394187	0.47	2140	94	122571	None
SA000221_bin_153278	99.64	0.08	Neural Network (Specific Model)	11	0.88	32343	286.7998822836963	1658451	0.38	1699	76	107229	None
SA000221_bin_210336	93.07	3.59	Gradient Boost (General Model)	11	0.823	4244	283.5594366197183	1832385	0.33	1775	492	18050	None
SA000221_bin_220419	93.04	0.19	Neural Network (Specific Model)	11	0.894	11689	303.3379120879121	2959060	0.47	2912	412	70978	None
SA000221_bin_99981	86.09	0.33	Neural Network (Specific Model)	11	0.918	14667	308.28873543375056	2330106	0.42	2317	249	59668	None
SA000222_bin_36228	99.57	1.12	Neural Network (Specific Model)	11	0.915	28929	321.59272439699487	2661397	0.41	2529	157	120321	None
SA000224_bin_52528	99.42	0.02	Neural Network (Specific Model)	11	0.897	41633	359.672850678733	2653893	0.47	2210	110	90528	None
SA000225_bin_98985	79.49	3.57	Gradient Boost (General Model)	11	0.889	3885	258.45900692840644	1508049	0.63	1732	443	15078	None
SA000226_bin_93226	100.0	0.11	Neural Network (Specific Model)	11	0.944	103251	301.265435660704	1652885	0.35	1733	47	153144	None
SA000227_bin_53571	100.0	2.42	Gradient Boost (General Model)	11	0.908	5829	294.2615669339914	1574470	0.3	1621	334	35882	None
SA000227_bin_90464	99.8	1.53	Neural Network (Specific Model)	11	0.892	9186	293.6746511627907	4238645	0.51	4300	646	35752	None
SHD1_0021	100.0	0.01	Neural Network (Specific Model)	11	0.883	2300923	312.0529222273355	2300923	0.32	2173	1	2300923	None
SHD1_0040	99.99	0.02	Neural Network (Specific Model)	11	0.881	735976	324.20642086782044	4394622	0.5	3987	11	1810704	None
SHD1_0041	99.89	0.0	Neural Network (Specific Model)	11	0.902	3421729	346.71940024479807	3762202	0.44	3268	2	3421729	None
SHD1_0065	99.92	0.02	Neural Network (Specific Model)	11	0.885	2249282	335.12	2776866	0.42	2450	2	2249282	None
SHD1_0078	99.94	0.03	Neural Network (Specific Model)	11	0.89	1631495	325.91993880673124	2152822	0.3	1961	2	1631495	None
SHD1_0097	99.82	0.02	Neural Network (Specific Model)	11	0.864	1981657	341.40216698534095	3712941	0.39	3138	2	1981657	None
SHD1_0181	100.0	0.11	Neural Network (Specific Model)	11	0.882	2727304	317.1841897233202	2727304	0.38	2530	1	2727304	None
SHD1_0219	100.0	0.13	Neural Network (Specific Model)	11	0.835	2871628	317.8622469233823	2871628	0.37	2519	1	2871628	None
SHD1_0223	99.99	0.13	Neural Network (Specific Model)	11	0.864	2048887	333.1336717428088	2048887	0.62	1773	1	2048887	None
SHD1_0246	99.61	0.07	Neural Network (Specific Model)	11	0.878	2776268	327.8944824808699	2776268	0.41	2483	1	2776268	None
SHD1_0247	99.96	0.14	Neural Network (Specific Model)	11	0.901	1653074	317.5450586264657	3152136	0.5	2985	3	1653074	None
SHD1_0261	99.85	0.12	Neural Network (Specific Model)	11	0.875	427963	317.66388443017655	3385805	0.44	3115	14	1000770	None
SHD1_0297	100.0	0.18	Neural Network (Specific Model)	11	0.941	1621303	308.16727053140096	1621303	0.35	1656	1	1621303	None
SHD1_0314	99.5	0.09	Neural Network (Specific Model)	11	0.899	2272129	315.77767484946736	2272129	0.37	2159	1	2272129	None
SHD1_0316	99.84	0.16	Neural Network (Specific Model)	11	0.834	1720697	294.0191370911621	3036564	0.29	2874	3	1720697	None
SHD1_0321	99.03	0.0	Gradient Boost (General Model)	11	0.86	1509349	313.5455861070912	1509349	0.37	1382	1	1509349	None
SHD1_0348	99.95	0.2	Neural Network (Specific Model)	11	0.914	1852050	318.9007332205302	1852050	0.39	1773	1	1852050	None
SHD1_0477	99.72	0.26	Neural Network (Specific Model)	11	0.874	1792867	348.0459387483356	1792867	0.64	1502	1	1792867	None
SHD1_0548	99.82	0.34	Neural Network (Specific Model)	11	0.905	3374165	328.2123552123552	3374165	0.42	3108	1	3374165	None
SHD1_0559	99.91	0.37	Neural Network (Specific Model)	11	0.847	2507431	306.48032857760484	2507431	0.35	2313	1	2507431	None
SHD1_0624	99.83	0.42	Neural Network (Specific Model)	11	0.9	1119545	321.0014209591474	3008795	0.41	2815	3	1149202	None
SHD1_0655	100.0	0.48	Gradient Boost (General Model)	11	0.843	1585015	302.7807196198235	1585015	0.26	1473	1	1585015	None
SHD1_0689	99.88	0.49	Gradient Boost (General Model)	11	0.838	1527287	307.60691144708426	1527287	0.26	1389	1	1527287	None
SHD1_0749	99.97	0.58	Neural Network (Specific Model)	11	0.878	2543412	314.7495777027027	2543412	0.3	2368	1	2543412	None
SHD1_0778	99.97	0.6	Neural Network (Specific Model)	11	0.925	2047686	329.446875	2047686	0.45	1920	1	2047686	None
SHD1_0938	99.89	0.76	Gradient Boost (General Model)	11	0.833	3480576	319.7585067723819	3480576	0.59	3027	1	3480576	None
SHD1_0952	99.92	0.78	Neural Network (Specific Model)	11	0.827	2274572	305.09037900874637	2274572	0.35	2058	1	2274572	None
SHD1_1008	99.62	0.8	Gradient Boost (General Model)	11	0.864	2708515	297.6391006097561	2708515	0.46	2624	1	2708515	None
SHD1_1023	99.99	0.9	Neural Network (Specific Model)	11	0.868	2395172	311.9043126684636	2395172	0.54	2226	1	2395172	None
SHD1_1027	100.0	0.88	Neural Network (Specific Model)	11	0.852	1440644	302.3284671532847	2766963	0.38	2603	3	1440644	None
SHD1_1040	98.74	0.68	Gradient Boost (General Model)	11	0.859	792917	306.1451299961195	2750071	0.6	2577	3	1243840	None
SHD1_1043	99.69	0.9	Neural Network (Specific Model)	11	0.908	1627371	337.33265472312706	2733023	0.39	2456	2	1627371	None
SHD1_1067	99.24	0.82	Gradient Boost (General Model)	11	0.837	2601906	314.13148788927333	2601906	0.32	2312	1	2601906	None
SHD1_1186	98.27	0.85	Gradient Boost (General Model)	11	0.875	2657280	303.9816118935837	2657280	0.34	2556	1	2657280	None
SHD1_1225	99.27	1.12	Neural Network (Specific Model)	11	0.886	1964049	321.42524916943523	1964049	0.29	1806	1	1964049	None
SHD1_1367	99.46	0.17	Gradient Boost (General Model)	11	0.837	1984339	337.8707317073171	1984339	0.65	1640	1	1984339	None
SHD1_1380	99.97	1.64	Neural Network (Specific Model)	11	0.895	671822	327.24460708782743	2841284	0.37	2596	4	1355747	None
SHD1_1399	99.92	1.7	Neural Network (Specific Model)	11	0.888	2095823	314.2240768841679	2095823	0.29	1977	1	2095823	None
SHD1_1461	95.12	0.89	Gradient Boost (General Model)	11	0.753	4181270	408.74046692607004	4181270	0.4	2570	1	4181270	None
SHD1_1476	100.0	1.9	Neural Network (Specific Model)	11	0.848	4451110	292.62070566388115	4451110	0.44	4308	1	4451110	None
SHD1_1491	99.48	1.84	Neural Network (Specific Model)	11	0.873	2282856	312.2595025809479	2282856	0.29	2131	1	2282856	None
SHD1_1549	99.96	2.12	Neural Network (Specific Model)	11	0.883	1288740	317.011116481392	2224936	0.3	2069	8	1288740	None
SHD1_1615	95.03	1.43	Gradient Boost (General Model)	11	0.753	4204540	417.54944620253167	4204540	0.39	2528	1	4204540	None
SHD1_2062	80.32	0.59	Neural Network (Specific Model)	11	0.819	180980	227.2025974025974	2866164	0.41	3465	24	316166	None
SHD1_2070	80.18	0.67	Neural Network (Specific Model)	11	0.908	52778	277.56792339916217	1527208	0.39	1671	42	170643	None
SHD1_2095	92.41	3.28	Gradient Boost (General Model)	11	0.83	253675	279.4820338983051	1486159	0.26	1475	10	527927	None
SHD1_2102	77.17	0.28	Neural Network (Specific Model)	11	0.882	2043319	317.56306068601583	2043319	0.3	1895	1	2043319	None
SHD1_2211	79.12	1.5	Neural Network (Specific Model)	11	0.902	204500	294.9163591635916	2387489	0.38	2439	28	381196	None
SHD1_2279	77.31	1.74	Neural Network (Specific Model)	11	0.895	274399	265.5713533438652	1683335	0.39	1899	11	314745	None
SHD1_2287	99.88	6.44	Neural Network (Specific Model)	11	0.865	723479	361.25036732295035	4258244	0.46	3403	20	928715	None
SHD1_2334	84.64	3.9	Neural Network (Specific Model)	11	0.887	148147	304.19654665686994	2793497	0.4	2722	32	524036	None
SHD1_2522	91.9	8.06	Gradient Boost (General Model)	11	0.873	102511	313.9145962732919	1387420	0.31	1288	21	189109	Low confidence prediction - substantial (31%) disagreement between completeness prediction models
SHD1_2524	85.07	6.72	Gradient Boost (General Model)	11	0.871	146892	250.69532324621733	3745119	0.4	4362	67	470956	None
SRR14842323_bin_1230	99.93	0.31	Neural Network (Specific Model)	11	0.902	186695	304.33158813263526	1737748	0.26	1719	27	402111	None
SRR14842324_bin_47647	98.73	1.58	Gradient Boost (General Model)	11	0.88	7539	328.0649738610904	1495105	0.55	1339	262	37200	None
