user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01886_bin.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.65	0.851	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000759775.1, s__Escherichia albertii, 95.0, 90.39, 0.623; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.43, 0.713; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.77, 0.51; GCF_902498915.1, s__Escherichia ruysiae, 95.0, 92.9, 0.757; GCA_048288465.1, s__Enterobacter flexneri_B, 95.0, 93.97, 0.764; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.12, 0.689; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.31, 0.787; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.02, 0.714; GCA_048288485.1, s__Enterobacter flexneri_A, 95.0, 94.78, 0.834; GCA_047199115.1, s__G047199115 sp047199115, 95.0, 93.43, 0.596; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.7, 0.738; GCA_047199055.1, s__ECMA0423 sp047199055, 95.0, 94.98, 0.808; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.93, 0.663; GCA_042434945.1, s__Escherichia hormaechei_A, 95.0, 94.62, 0.446; GCF_036503815.1, s__Escherichia coli_F, 95.84, 96.3, 0.8; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.09, 0.161; GCA_047199095.1, s__G047199095 sp047199095, 95.0, 94.49, 0.821; GCA_041890495.1, s__Escherichia boydii, 95.0, 94.84, 0.419	98.36	11	N/A	N/A
EHA01886_bin.8	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	GCF_014384995.1	95.03	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	98.89	0.913	GCF_014384995.1	95.03	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	98.89	0.913	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018883975.1, s__Zhenhengia stercoravium, 95.0, 94.82, 0.772	92.53	11	N/A	N/A
EHA01887_bin.23	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.36	11	0.97123	N/A
EHA01887_bin.29	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	GCA_964239055.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	97.09	0.855	GCA_964239055.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	97.09	0.855	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_050219445.1, s__Fusobacterium_B sp019416805, 95.0, 94.84, 0.817; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 87.99, 0.317	64.35	11	N/A	N/A
EHA01887_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.89	11	0.97071	N/A
EHA01887_bin.5	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	GCA_963559865.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	96.38	0.801	GCA_963559865.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	96.38	0.801	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 89.25, 0.617; GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.42, 0.675; GCF_003670275.1, s__Helicobacter_C labetoulli, 95.0, 93.92, 0.749	94.91	11	N/A	N/A
EHA01888_bin.10	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.69	0.871	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.69	0.871	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.05, 95.31, 0.757; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 88.52, 0.195; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 90.17, 0.35; GCA_963560155.1, s__Collinsella sp963560155, 95.0, 90.96, 0.387; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.57, 0.33; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.32, 0.395; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.73, 0.638	81.12	11	N/A	N/A
EHA01888_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.04	11	0.96121	N/A
EHA01889_bin.12	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.81	0.883	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.81	0.883	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.05, 95.32, 0.765; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 90.4, 0.349; GCA_963560155.1, s__Collinsella sp963560155, 95.0, 91.23, 0.386; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 90.27, 0.394; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.84, 0.324; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.84, 0.645; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 88.95, 0.18	80.94	11	N/A	N/A
EHA01890_bin.19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	GCF_023051105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	97.78	0.901	GCF_023051105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	97.78	0.901	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.97	4	N/A	N/A
EHA01890_bin.56	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.79	0.597	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.79	0.597	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	56.75	11	N/A	Genome has more than 15.8% of markers with multiple hits
EHA01890_bin.6	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.66	11	0.99252	N/A
EHA01891_bin.15	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	GCA_963559865.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	96.29	0.739	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_003670275.1, s__Helicobacter_C labetoulli, 95.0, 94.61, 0.668; GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 91.23, 0.519; GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 91.05, 0.487	77.39	11	N/A	N/A
EHA01892_bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.94	0.842	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.94	0.842	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.25, 0.548; GCF_050509515.1, s__Sarcina sp050509515, 95.0, 87.64, 0.186; GCF_034439435.1, s__Sarcina sp034439435, 95.0, 90.0, 0.343; GCA_034421775.1, s__Sarcina perfringens_B, 95.0, 89.69, 0.331	71.26	11	N/A	N/A
EHA01892_bin.5	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.36	11	0.98999	N/A
EHA01893_bin.24	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCF_047528295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.88	0.807	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_047807365.1, s__Peptacetobacter sp900539645, 95.0, 93.68, 0.568; GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 94.73, 0.587	58.28	11	N/A	N/A
EHA01894_bin.7	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.99	0.77	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.99	0.77	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258315.1, s__Fusobacterium_B sp029258315, 95.0, 85.68, 0.187	58.36	11	N/A	N/A
